uid	sex	bdate	city	langs
206098755	female	10.3.1995	Петровск-Забайкальский	
205627500	male	13.3	Забайкальск	
278258500	female	28.12.2002	Москва	
267775133	female	6.9	Забайкальск	Русский,English
204187675	female	19.7	Петровск-Забайкальский	
203839022	female	27.1	Петровск-Забайкальский	
203710280	male	4.12.1988	Забайкальск	
203263886	male	30.1.1995	Забайкальск	
203175342	female	4.8.1956	Чита	
201864908	female		Чита	
201551047	male	1.8.1991	Петровск-Забайкальский	
259747687	male	24.7	Слюдянка	
307887687	male	11.2	Петровск-Забайкальский	Русский,English,Dangme
272774739	male	10.2	Забайкальск	
252786739	female		Петровск-Забайкальский	
200388716	female	8.4.1991	Ясная	
200369818	male	1.12.1971	Краснокаменск	Беларуская (тарашкевiца),Русский,English,Lingua Latina,Lietuvių,Polski,Українська,Нохчийн мотт,Türkçe,ქართული,العربية
199228366	female	19.10	Петровск-Забайкальский	
313442366	male	13.12.2002	Ангарск	
199067535	female	29.6.1986	Забайкальск	
198683447	female	13.4	Чита	
198580552	female	7.6.1987	Петровск-Забайкальский	
197275102	male	23.12.1992	Иркутск	
196580860	female	6.6	Улан-Удэ	
195894489	female	13.1	Чита	
195807125	male	25.2.1999	Челбасская	
195722654	female	9.10.2002	Улан-Удэ	Русский,Буряад,English
278764654	female	27.4	Улан-Удэ	
195584312	male	29.10.1994	Улан-Удэ	
195340894	female	10.11	Забайкальск	
195311297	female	2.8	Забайкальск	
194432434	female	18.1.2002	Забайкальск	
194429834	male	25.6	Новосибирск	
193873717	male	7.10.1996	Красноярск	
336496717	male	14.1.1990	Забайкальск	
193847586	male	2.5	Петровск-Забайкальский	
192962643	male	4.5	Забайкальск	
192938445	male	21.5	Петровск-Забайкальский	
192838444	male	1.9	Чита	
192435615	female	15.2.1992	Саратов	
191828569	female	17.10	Москва	
191764800	female	12.11.1994	Петровск-Забайкальский	
191676983	female	14.6	Петровск-Забайкальский	
340364983	male	21.4.2001	Закульта	
276232983	female		Петровск-Забайкальский	
351461983	female	13.9	Петровск-Забайкальский	
191676538	female	12.9	Новая Чара	
191631998	male	28.5.1999	Забайкальск	
191341422	male	30.8	Шелопугино	
189797353	female	2.9	Чита	Русский,Deutsch,English
319207353	female	29.1.1973	Тарбагатай	
189426987	male	21.6	Москва	
188414509	female	28.3	Петровск-Забайкальский	
187091056	male	24.6.1991	Чита	
337981056	female	22.3.2002	Чита	
186577825	male		Петровск-Забайкальский	Русский,English,保安语
186460237	female	22.10.1958	Улан-Удэ	
185867642	male	2.3	Хабаровск	
185696271	male	21.9	Петровск-Забайкальский	Русский,English
185475891	male	5.4	Чита	
185106826	male	25.11.1994	Петровск-Забайкальский	
184887443	female		Шерловая Гора 1-я	
184539371	female	6.7	Чита	Русский,English
182810621	male		Благовещенск	
195147621	female	24.8.1973	Ижевск	
182547838	female	4.12	Чита	Русский,English
333483838	female	3.10.1998	Петровск-Забайкальский	
182259638	male	16.10	Чита	
192546638	female	28.8	Улан-Удэ	
246390969	male	19.6.2001	Забайкальск	Русский,中文 (繁體)
181926858	female	14.2	Баляга	
181734341	male	14.4.1992	Карымское	
224512341	female	27.10	Улан-Удэ	
181623771	female	27.9.1991	Забайкальск	Русский,中文 (繁體)
181199306	male	31.10.1982	Кашира	
180905020	female	7.1.1998	Петровск-Забайкальский	
180843576	female	22.9.1988	Петровск-Забайкальский	
240291576	female	30.9.1974	Улан-Удэ	Русский,Буряад
180725152	female	23.2	Чита	
179643345	male	15.9.1984	Дульдурга	
245939345	male	20.2	Чита	English,Русский
179547081	female	17.1	Улан-Удэ	
316012081	male		Петровск-Забайкальский	
179542599	male	30.1.1973	Ростов-на-Дону	Русский,Монгол,English,Español,日本語
179169841	female	20.2.2000	Забайкальск	
178305005	male	9.7.1995	Москва	
235150005	female		Смоленск	
176679411	female	30.11.1971	Балей	
175860481	male	12.11	Сретенск	
175361343	female	6.12	Забайкальск	Русский,O‘zbek,English,汉语
175042802	female	6.3	Петровск-Забайкальский	
174661931	female	3.9.1951	Новосибирск	
247367931	female	24.4.1999	Петровск-Забайкальский	
220058931	female		Чита	
174159124	female	27.10	Петровск-Забайкальский	
172850695	male	12.6.1992	Чита	
172713235	male	23.7.1995	Рязань	Русский,English,Lingua Latina
172638350	male	22.3.1971	Ейск	
171318336	male	30.10.2001	Чита	
271631336	female	8.11	Чита	
275835336	female	28.7.2002	Невинномысск	
171273668	male	14.3	Петровск-Забайкальский	Русский,English
171252797	male	11.7.1991	Томск	
296885797	female	21.6.1983	Петровск-Забайкальский	
170409842	female	25.12.1997	Тарбагатай	
170154929	male	18.10	Чита	
276449929	male	15.9	Улан-Удэ	
168754034	male	12.10	Чита	
168011147	male		Забайкальск	
167883974	male		Пермь	
167502235	female	16.11	Петровск-Забайкальский	
167485417	male	18.9.2000	Хабаровск	
167062399	female	15.11.1987	Забайкальск	
166687150	male	3.10.2000	Петровск-Забайкальский	
166214172	male		Агинское	
345733172	female	3.11	Петровск-Забайкальский	
297228134	male	11.9.1998	Петровск-Забайкальский	
288769134	male	30.10	Забайкальск	
165691215	female	16.4	Чита	
235082215	female	23.11	Забайкальск	
172922011	male	24.4.1993	Чита	
165554375	male	11.9	Забайкальск	
165432419	male	10.9.1991	Токчин	
165226022	male		Забайкальск	
164638202	male	16.1	Красный Чикой	
163903878	female	21.3.1999	Иркутск	
163294291	male	12.4	Краснокаменск	
163257773	female	31.1.1979	Петровск-Забайкальский	
162135627	male	29.9	Забайкальск	
162123029	female	11.4.1999	Петровск-Забайкальский	Русский,Беларуская,Français,Deutsch
161920888	male	8.12.1995	Ростов-на-Дону	Русский,English,Français
161839186	female	13.3.2002	Чита	
161205710	male	19.10.2001	Петровск-Забайкальский	Русский,Тоҷикӣ,English
161039085	female	13.10.1997	Хохотуй	
160743826	female	6.11.1958	Забайкальск	Русский,English
160735180	female	19.6	Забайкальский	
